id,text,aspect,sentiment
1004293:0_0,"Judging from previous posts this used to be a good place, but not any longer.",place,negative
1004293:1_0,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,negative
1004293:2_0,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,negative
1004293:3_0,The food was lousy - too sweet or too salty and the portions tiny.,food,negative
1004293:3_1,The food was lousy - too sweet or too salty and the portions tiny.,portions,negative
1004293:4_0,"After all that, they complained to me about the small tip.",NULL,negative
1004293:5_0,Avoid this place!,place,negative
1014458:0_0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,positive
1014458:1_0,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,positive
1014458:2_0,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,positive
1014458:2_1,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,positive
1014458:3_0,The wine list is interesting and has many good values.,wine list,positive
1014458:3_1,The wine list is interesting and has many good values.,wine list,positive
1014458:4_0,"For the price, you cannot eat this well in Manhattan.",NULL,positive
1014458:4_1,"For the price, you cannot eat this well in Manhattan.",NULL,positive
1016296:0_0,I was very disappointed with this restaurant.,restaurant,negative
1016296:1_0,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,negative
1016296:2_0,I had to ask her three times before she finally came back with the dish Ive requested.,NULL,negative
1016296:3_0,"Food was okay, nothing great.",Food,neutral
1016296:4_0,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,negative
1016296:4_1,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,negative
1016296:4_2,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,NULL,negative
1016296:5_0,I/we will never go back to this place again.,place,negative
1028246:0_0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,positive
1028246:1_0,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,positive
1028246:1_1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,positive
1028246:1_2,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",NULL,positive
1028246:2_0,You can't go wrong here.,NULL,positive
1032695:0_0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,positive
1032695:1_0,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL,positive
