id,text,aspect,sentiment
g1079435-d3498474-r271346275:0_0,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",service,neutral
g1079435-d3498474-r271346275:0_1,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",plats,negative
g1079435-d3498474-r271346275:0_2,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",sauces,negative
g1079435-d3498474-r271346275:0_5,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",resto,negative
g1080298-d1332050-r275655485:0_0,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",ambiance,positive
g1080298-d1332050-r275655485:0_1,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",promenade,positive
g1080298-d1332050-r275655485:0_2,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",service,positive
g1080298-d4701165-r281527562:0_0,"on s'attendait à mieux (attente, qualité moyenne).",attente,negative
g1080559-d3686505-r151173923:0_0,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,adresse,positive
g1080559-d3686505-r151173923:0_1,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,vue,positive
g1080559-d3686505-r151173923:0_2,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,cuisine,positive
g1080559-d3686505-r151173923:0_3,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,service,positive
g1080574-d1337519-r211045323:2_0,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",lasagnes,negative
g1080574-d1337519-r211045323:2_1,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",fromage,negative
g1080574-d1337519-r211045323:2_2,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",concentré de tomates,negative
g1080574-d1337519-r211045323:3_0,Dessert tout sauf maison .... !,Dessert,negative
g1582538-d3877732-r250915172:1_0,Le menu du jour est très bon et bien servi!,menu du jour,positive
g1582538-d3877732-r250915172:2_1,"toujours très original, on y goutte des plats qu'on ne verra pas autre part.",plats,positive
g1582538-d3877732-r250915172:3_0,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",table des desserts,positive
g1582538-d3877732-r250915172:3_1,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",tarte gourmande,positive
g1582538-d3877732-r250915172:3_2,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",gâteau,positive
g1582538-d3877732-r250915172:5_0,Et l'équipe est adorable!,équipe,positive
g1582538-d3877732-r250915172:6_0,Y aller également pour la terrasse qui est très jolie!,terrasse,positive
g1833139-d7211477-r282922737:0_1,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,cuisine,positive
g1833139-d7211477-r282922737:0_2,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,endroit,positive
g1833139-d7211477-r282922737:0_3,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,tartare,positive
g1833139-d7211477-r282922737:0_4,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,frites,positive
g1833139-d7211477-r282922737:0_6,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,frites,positive
g187073-d1328515-r282975754:0_0,2 heures dattentes minumum aucun service et patronne execrable !,attentes,negative
g187073-d1328515-r282975754:0_1,2 heures dattentes minumum aucun service et patronne execrable !,service,negative
g187073-d1328515-r282975754:0_2,2 heures dattentes minumum aucun service et patronne execrable !,patronne,negative
g187073-d2234111-r233672137:0_0,"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.",terrasse au bord de l'eau,positive
