id,text,aspect,sentiment
Review-g1006565-d2066794_1:1_0,Lange wachttijd.,wachttijd,negative
Review-g1006565-d2066794_1:2_0,"Zelfde dessert, 2 dagen na mekaar.",dessert,negative
Review-g1006565-d2066794_1:3_0,Ontbijtbuffet was tip top in orde.,ontbijtbuffet,positive
Review-g1006565-d2066794_2:3_0,Maar eens in het kasteelrestaurant aangekomen werd het een feest.,kasteelrestaurant,positive
Review-g1006565-d2066794_2:4_0,"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",bediening,positive
Review-g1006565-d2066794_2:5_0,"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",personeel,positive
Review-g1006565-d2066794_2:6_0,Je hebt de keuze tussen een beperkt aantal menus.,menus,negative
Review-g1006565-d2066794_2:8_1,Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.,rundvlees,positive
Review-g1006565-d2066794_2:10_0,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",visalternatief,positive
Review-g1006565-d2066794_2:10_1,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",lam,positive
Review-g1006565-d2066794_2:10_2,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",eend,positive
Review-g1006565-d2066794_2:11_0,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,wijnen,positive
Review-g1006565-d2066794_2:11_1,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,wijnkaart,positive
Review-g1006565-d2066794_2:13_1,Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.,omgeving,positive
Review-g1006565-d2066794_4:2_0,Het is een fantastische gelegenheid.,gelegenheid,positive
Review-g1006565-d2066794_4:4_0,Op het landgoed Altembrouck werkt men met verse eerlijke producten.,producten,positive
Review-g1006565-d2066794_4:6_0,Er is geen menukaart.,menukaart,negative
Review-g1006565-d2066794_4:7_0,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is.",3 gang menu,positive
Review-g1006565-d2066794_4:7_1,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is.",3 gang menu,positive
Review-g1006565-d2066794_4:8_0,Nadeel is dat er geen menukaart is zelfs geen dagelijkse.,menukaart,negative
Review-g1006565-d2066794_4:10_0,Het personeel is zeer vriendelijk en correct zonder stijf te zijn.,personeel,positive
Review-g1006565-d2066794_4:18_0,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,ambiance,positive
Review-g1006565-d2066794_4:18_1,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,eten,positive
Review-g1009379-d1094833_1:1_0,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",keuken,positive
Review-g1009379-d1094833_1:1_1,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",zaak,positive
Review-g1009379-d1094833_1:1_2,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",ober,negative
Review-g1009379-d1094833_2:5_0,"Het idee om deze mooi avond af te sluiten met een etentje op het terras van ""'t Groot Café"" was een echte afknapper van je welste.",'t groot café,negative
Review-g1009379-d1094833_2:6_0,De ober was juist ontslagen dacht ik.,ober,negative
Review-g1009379-d1094833_2:9_0,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,eten,negative
Review-g1009379-d1094833_2:9_1,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,bediening,neutral
Review-g1009379-d1094833_2:10_0,Zo lang die ober daar blijft werken mij niet meer gezien.,ober,negative
Review-g1009379-d1094833_3:3_0,De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.,ober,negative
Review-g1009379-d1094833_3:4_0,"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging.",ober,negative
Review-g1009379-d1094833_3:7_0,"Als deze zaak het hoofd niet boven water kan houden, ligt het niet aan de crisis!",zaak,negative
Review-g1009379-d1094833_3:8_0,"Eigenaar, leer uw personeel manieren.",personeel,negative
Review-g1009379-d1094833_4:1_0,We komen hier vaker eten: degelijke brasserie zonder meer.,brasserie,neutral
Review-g1081485-d4399506_1:1_0,"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.",tapagerechtjes,neutral
Review-g1081485-d4399506_1:1_1,"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.",gastvrouw,positive
Review-g1081485-d4399506_1:2_0,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",russiisch ei,neutral
Review-g1081485-d4399506_1:2_1,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",champignons,neutral
Review-g1081485-d4399506_1:2_2,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",chorizo,neutral
Review-g1081485-d4399506_1:2_3,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",manchego,neutral
Review-g1081485-d4399506_1:2_4,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",iberico,neutral
Review-g1081485-d4399506_1:2_5,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",tomaatjes,neutral
Review-g1081485-d4399506_1:2_6,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",gehaktballetjes in tomatensaus,neutral
Review-g1081485-d4399506_1:3_0,"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",wijn,positive
Review-g1081485-d4399506_1:3_1,"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",wijn,positive
Review-g1081485-d4399506_1:4_0,Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs,tapàs,neutral
Review-g1081485-d4399506_1:4_1,Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs,adresje,positive
Review-g1081485-d4399506_1:5_0,Bediening vriendelijk maar gehaast....,bediening,neutral
Review-g1081485-d4399506_2:1_0,Zuiderse sfeer...,sfeer,neutral
Review-g1081485-d4399506_2:3_0,Geweldig concept voor een geweldige avond in Spaanse decor!!,concept,positive
Review-g1081485-d4399506_3:1_0,Prachtige wijnen en heel gezellig ambiente.,ambiente,positive
Review-g1081485-d4399506_3:1_1,Prachtige wijnen en heel gezellig ambiente.,wijnen,positive
Review-g1081485-d4399506_3:2_0,Authentieke recepten (als spanje kenners kunnen we dat bevestigen) en alles huisgemaakt (dat proef je!).,recepten,neutral
Review-g1081485-d4399506_4:1_0,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed.",tapas,positive
Review-g1081485-d4399506_4:1_1,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed.",wijnen,positive
Review-g1081485-d4399506_4:1_2,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed.",concept,positive
Review-g1081485-d4399506_4:2_0,"komen steeds terug om een gezellige avond door te brengen met hapje en drankje, de bediening zou soms sneller kunnen, maar bekijk dit als een leuke en ontspannen middag of avond zonder stress",bediening,negative
Review-g1081485-d803873_1:2_0,Ook in de periferie zijn er juweeltjes zoals Klein Constantia.,klein constantia,positive
Review-g1081485-d803873_1:3_0,"Hoewel eerder gericht op een modaal publiek dat graag een biefstuk eet, presenteert dit restaurant met de regelmaat van de klok smaakparadijzen van schotels voor gastronomen.",schotels,positive
Review-g1081485-d803873_3:1_0,Gewoonweg het beste restaurant in de buurt!,restaurant,positive
Review-g1081485-d803873_4:1_0,Vroegere bezoeken aan KC waren altijd een culinair hoogtepunt.,kc,negative
Review-g1081485-d803873_4:4_0,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord.",bord,negative
Review-g1081485-d803873_4:4_1,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord.",suggesties,negative
Review-g1081485-d803873_4:4_2,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord.",menukaart,negative
Review-g1081485-d803873_4:5_0,Een simpele sla als bijgerecht is niet meteen mijn motivatie om op restaurant te gaan.,sla,negative
Review-g1081485-d803873_4:6_0,Amuses die vroeger een leuke entree waren zijn nu beperkt tot een pompoensoepje.,amuses,negative
Review-g1081485-d803873_4:7_0,"Maar zelfs met deze beperkte kaart (4 hoofdgerechten, 4 voorgerechten en 2 desserts) waren er toch 2 gerechten niet beschikbaar!",kaart,negative
Review-g1081485-d803873_4:14_0,Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.,producten,neutral
Review-g1081485-d803873_4:14_1,Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.,zuid-afrikaanse wijnen,positive
Review-g1120021-d4097420_1:5_0,Zeer vriendelijke en vlotte bediening.,bediening,positive
Review-g1120021-d4097420_4:1_0,"Lekker broodje met vol-au-vent Aan 8,5€!",broodje met vol-au-vent,positive
