text,sentiment,aspect
寸 万 像 素 的 超 级 晶 彩 屏 视 角 非 常 宽 ,2,彩 屏 视 角
而 且 色 彩 鲜 艳 反 差 略 大 ,0,色 彩
电 池 巡 航 能 力 相 当 不 错 ,2,电 池 巡 航 能 力
回 放 速 度 非 常 快 ,2,回 放 速 度
外 观 并 无 出 色 设 计 ,0,外 观
塑 料 卡 口 的 缺 点 是 耐 用 性 差 ,0,耐 用 性
机 身 高 度 也 不 如 尼 康 的 一 些 机 型 来 得 高 ,0,机 身 高 度
体 积 小 巧 ,2,体 积
手 感 细 腻 ,2,手 感
做 工 非 常 的 精 致 ,2,做 工
图 象 非 常 清 晰 我 就 更 加 爱 不 释 手 了 ,2,图 象
操 控 性 能 良 好 ,2,操 控 性 能
图 象 色 彩 艳 丽 ,2,图 象 色 彩
还 原 效 果 理 想 ,2,还 原 效 果
原 装 电 池 容 量 较 小 ,0,原 装 电 池 容 量
手 柄 宽 大 厚 实 ,2,手 柄
握 持 手 感 相 当 好 ,2,手 感
的 启 动 速 度 不 快 ,0,启 动 速 度
画 制 非 常 不 错 ,2,画 制
比 如 画 面 比 的 就 要 强 ,2,画 面
而 这 款 尼 康 的 还 原 性 非 常 好 ,2,还 原 性
功 能 全 面 ,2,功 能
录 象 功 能 很 不 错 ,2,录 象 功 能
画 面 清 晰 ,2,画 面
录 音 效 果 很 好 且 没 有 时 间 限 制 ,2,录 音 效 果
最 最 值 得 一 提 的 是 体 积 很 小 巧 ,2,体 积
外 观 精 美 ,2,外 观
还 有 就 是 价 格 比 较 合 适 拉 ,2,价 格
现 在 这 个 价 格 也 算 是 很 划 算 的 ,2,价 格
色 彩 还 原 鲜 艳 而 不 失 真 ,2,色 彩
图 像 细 节 丰 富 ,2,图 像 细 节
锐 度 强 ,2,锐 度
存 盘 速 度 都 比 较 理 想 ,2,存 盘 速 度
微 距 性 能 极 佳 ,2,微 距 性 能
在 比 较 暗 的 地 方 其 对 焦 成 功 率 仍 然 很 高 ,2,对 焦 成 功 率
相 机 很 漂 亮 ,2,相 机
相 机 右 部 的 握 柄 部 位 手 感 极 佳 ,2,手 感
体 形 较 为 小 巧 ,2,体 形
的 外 观 设 计 整 体 来 说 还 是 比 较 简 洁 ,2,外 观 设 计
其 背 部 设 计 相 当 明 快 ,2,背 部 设 计
图 像 细 腻 程 度 较 高 ,2,图 像 细 腻 程 度
市 场 价 格 要 比 主 流 的 和 高 出 一 些 ,2,价 格
开 机 速 度 快 ,2,开 机 速 度
快 门 速 度 较 慢 ,0,快 门 速 度
开 机 奇 快 ,2,开 机
光 圈 大 ,2,光 圈
画 质 特 别 好 ,2,画 质
广 角 变 形 十 分 严 重 ,0,广 角
是 反 应 慢 ,0,反 应
微 距 很 弱 的 ,0,微 距
的 配 件 奇 贵 ,0,配 件
液 晶 屏 明 显 变 暗 ,0,液 晶 屏
原 装 皮 套 同 样 很 傻 ,0,原 装 皮 套
目 前 来 说 性 能 价 格 比 很 好 ,2,性 能 价 格 比
的 功 能 确 实 强 大 ,2,功 能
传 输 使 用 中 速 度 也 确 实 不 错 ,2,速 度
外 形 优 美 ,2,外 形
表 面 橡 胶 材 质 持 握 舒 适 ,2,表 面 橡 胶 材 质
快 门 手 感 良 好 ,2,快 门 手 感
手 动 功 能 齐 全 ,2,手 动 功 能
成 像 质 量 较 好 ,2,成 像 质 量
紫 边 不 算 明 显 ,2,紫 边
全 中 文 菜 单 设 置 层 级 合 理 ,2,菜 单
后 期 成 本 较 低 ,2,成 本
摄 像 画 面 质 量 很 好 ,2,摄 像 画 面 质 量
连 拍 效 果 较 好 ,2,连 拍 效 果
微 距 效 果 无 可 挑 剔 ,2,微 距 效 果
分 辨 率 偏 低 ,0,分 辨 率
的 瞬 时 连 拍 功 能 分 辨 率 偏 低 ,0,分 辨 率
体 积 不 大 ,2,体 积
清 晰 度 都 不 错 ,2,清 晰 度
色 彩 也 比 较 中 性 ,2,色 彩
试 了 几 次 开 关 机 感 觉 启 动 速 度 还 比 较 快 ,2,启 动 速 度
所 以 在 近 距 离 用 闪 光 灯 照 出 的 照 片 亮 度 过 大 ,0,照 片 亮 度
相 机 最 大 缺 点 就 是 耗 电 比 较 大 ,0,耗 电
不 过 能 使 用 碱 性 五 号 电 池 也 是 优 点 ,2,电 池
电 池 够 强 劲 ,2,电 池
手 动 功 能 也 不 错 ,2,手 动 功 能
 寸 [ASP][ASP] 又 [ASP][ASP] 大 [ASP][ASP] 又 [ASP][ASP] 亮 [ASP][ASP] ,2,
体 积 不 大 ,2,体 积
价 格 便 宜 ,2,价 格
广 角 才 显 得 遗 憾 ,0,广 角
