id,sentiment,aspect,text
986,neutral,ambience,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
2200,positive,ambience,The design and atmosphere is just as good.
2935,negative,ambience,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
3534,positive,ambience,"All the money went into the interior decoration, none of it went to the chefs."
1407,negative,ambience,The seats are uncomfortable if you are sitting against the wall on wooden benches.
3367,positive,ambience,"Best of all is the warm vibe, the owner is super friendly and service is fast."
270,positive,ambience,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
388,positive,ambience,this little place has a cute interior decor and affordable city prices.
263,positive,ambience,"Raga's is a romantic, cozy restaurant."
2599,positive,ambience,The place is so cool and the service is prompt and curtious.
2983,positive,ambience,"Nice atmosphere, the service was very pleasant and the desert was good."
3219,positive,ambience,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
2911,positive,ambience,"Great food, good size menu, great service and an unpretensious setting."
2511,positive,ambience,"whoever the jazz duo was, they were on POINT."
2972,positive,ambience,First went here to enjoy their garden terrace.
3680,positive,ambience,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
3155,negative,ambience,They are often crowded on the weekends but they are efficient and accurate with their service.
598,positive,ambience,"The atmosphere is unheralded, the service impecible, and the food magnificant."
2977,conflict,ambience,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
2604,positive,ambience,Right off the L in Brooklyn this is a nice cozy place with good pizza.
2949,negative,ambience,It was tiny and I felt like I was eating in someone's living room.
362,positive,ambience,"Nice restaurant overall, with classic upscale Italian decor."
3288,conflict,ambience,"There's nice and quiet, small but enough for 6 (or more)."
1819,positive,ambience,Ambiance- relaxed and stylish.
1553,negative,ambience,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is)."
2498,positive,ambience,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
1321,positive,ambience,Its an excellent place to relax and the food is one of the best in the city of New York.
1890,conflict,ambience,The atmosphere was crowded but it was a great bistro-type vibe.
973,positive,ambience,"Ambiance and music funky, which I enjoy."
250,positive,ambience,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
3686,positive,ambience,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
1922,negative,ambience,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
2454,positive,ambience,I love the atmorphere @ peep!
1408,negative,ambience,It's a rather cramped and busy restaurant and it closes early.
2521,positive,ambience,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
1554,negative,ambience,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
1969,positive,ambience,"The service, wine selection, ambiance are all outstanding and deserve recognition."
999,positive,ambience,"It is set far from the small street it's on, and there is no traffic noise."
2503,neutral,ambience,"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them."
940,positive,ambience,I felt as though I were eating in Paris.
2823,positive,ambience,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
2396,positive,ambience,All the NYU students love this place so it makes for a fun young atmosphere.
3477,positive,ambience,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
1280,conflict,ambience,Always busy but fast moving.
1551,negative,ambience,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get."
2447,positive,ambience,Not pretentious and very economical.
2486,negative,ambience,"The noise level was unbearable, conversation impossible."
318,positive,ambience,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.
198,neutral,ambience,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least."
504,positive,ambience,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well."
998,positive,ambience,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.
2831,positive,ambience,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside."
985,neutral,ambience,also make sure you pay attention to the music being piped in - quite a weird selection.
1843,positive,ambience,The establishment scores big points in presentation and style.
3085,positive,ambience,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention."
2512,positive,ambience,"good music, great food, speedy service affordable prices."
2315,conflict,ambience,"Not a large place, but it's cute and cozy."
3295,positive,ambience,I must say the view of NYC is so beautiful!
1652,positive,ambience,"Otherwise, this place has great service and prices and a nice friendly atmosphere."
1125,conflict,ambience,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander."
2452,negative,ambience,"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here."
3535,positive,ambience,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
993,positive,ambience,The setting is casual and romantic.
3320,positive,ambience,Baluchi's has solid food and a nice decor at reasonable prices.
133,negative,ambience,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
2627,positive,ambience,"The ambience was nice, but service wasn't so great."
3189,neutral,ambience,The location and ambience is Ok but the food is what makes up for it.
990,neutral,ambience,Its not the same if you have to sit inside.
229,positive,ambience,Great people watching as others do the same to you.
2012,negative,ambience,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation."
2770,negative,ambience,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review."
1989,positive,ambience,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime."
2705,negative,ambience,Big and gawky on the outside.
2901,positive,ambience,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
901,negative,ambience,The photos of the restaurant in its web site are way better than the real look.
1152,negative,ambience,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
833,positive,ambience,Metrazur has a beautiful spot overlooking the main terminal.
539,negative,ambience,The restaurant is rather small but we were lucky to get a table quickly.
2533,positive,ambience,I love this cozy around the way Rest.
2225,negative,ambience,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty."
3319,positive,ambience,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
3681,positive,ambience,"The food was very good, a great deal, and the place its self was great."
3421,neutral,ambience,"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown)."
