id,text,aspect,sentiment
es_9reinas_10_JordiCollGranell_2014-09-21:1_0,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",servicio,positive
es_9reinas_10_JordiCollGranell_2014-09-21:1_1,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",ambiente,positive
es_9reinas_10_JordiCollGranell_2014-09-21:1_2,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",comida,positive
es_9reinas_12_RomanAlimena_2014-09-04:0_0,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",atencion,positive
es_9reinas_12_RomanAlimena_2014-09-04:0_1,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",camareros,positive
es_9reinas_12_RomanAlimena_2014-09-04:1_0,"Y la comida espectacular, por eso lo bueno se paga...",comida,positive
es_9reinas_12_RomanAlimena_2014-09-04:2_0,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",salsa provenzal,negative
es_9reinas_14_AngelEspanolPuig_2014-06-26:2_0,"Las carnes bien, pero como muchas otras.",carnes,neutral
es_9reinas_14_AngelEspanolPuig_2014-06-26:3_0,"El precio, por lo que es la comida, para mi gusto es elevado.",comida,negative
es_9reinas_17_JoseCarlosLopez_2014-02-24:0_0,"la calidad del producto, el servicio, el entorno todo fue excelente",producto,positive
es_9reinas_17_JoseCarlosLopez_2014-02-24:0_1,"la calidad del producto, el servicio, el entorno todo fue excelente",servicio,positive
es_9reinas_17_JoseCarlosLopez_2014-02-24:0_2,"la calidad del producto, el servicio, el entorno todo fue excelente",entorno,positive
es_9reinas_18_DanielGonzalez_2014-02-01:0_0,9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,9reinas,positive
es_9reinas_18_DanielGonzalez_2014-02-01:1_0,El servicio es muy bueno y la calidad de la comida al mismo nivel.,servicio,positive
es_9reinas_18_DanielGonzalez_2014-02-01:1_1,El servicio es muy bueno y la calidad de la comida al mismo nivel.,comida,positive
es_9reinas_18_DanielGonzalez_2014-02-01:2_1,Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.,carta,positive
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0_0,"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",comida,positive
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0_1,"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",ambiente,positive
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2_1,Vale la pena ir y probar sus carnes.,carnes,positive
es_9reinas_24_PilarTorresCarbajo_2013-12-22:0_0,"El restaurante es precioso, moderno y acogedor.",restaurante,positive
es_9reinas_24_PilarTorresCarbajo_2013-12-22:1_0,La comida está deliciosa y es de calidad.,comida,positive
es_9reinas_24_PilarTorresCarbajo_2013-12-22:2_0,El servicio muy atento.,servicio,positive
es_9reinas_26_Lucia_2013-12-10:0_0,Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,9reinas,positive
es_9reinas_26_Lucia_2013-12-10:1_0,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,carnes,positive
es_9reinas_26_Lucia_2013-12-10:1_1,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,servicio,positive
es_9reinas_26_Lucia_2013-12-10:1_2,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,bodega,positive
es_9reinas_29_MarionCanavera_2013-07-14:0_0,restaurante excelente con carne de alta calidad.,restaurante,positive
es_9reinas_29_MarionCanavera_2013-07-14:0_1,restaurante excelente con carne de alta calidad.,carne,positive
es_9reinas_2_AlbertMuntana_2015-03-09:0_1,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",servicio,positive
es_9reinas_2_AlbertMuntana_2015-03-09:0_2,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",comida,positive
es_9reinas_2_AlbertMuntana_2015-03-09:0_3,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",apariencia,positive
es_9reinas_30_LauraMallen_2013-06-23:1_0,el sitio es muy bonito la comida estupenda y el trato inmejorable.,sitio,positive
es_9reinas_30_LauraMallen_2013-06-23:1_1,el sitio es muy bonito la comida estupenda y el trato inmejorable.,comida,positive
es_9reinas_30_LauraMallen_2013-06-23:1_2,el sitio es muy bonito la comida estupenda y el trato inmejorable.,trato,positive
