sentiment,text
negative,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost ."
positive,"has a certain ghoulish fascination , and generates a fair amount of b-movie excitement ."
positive,"the film becomes an overwhelming pleasure , and you find yourself rooting for gai's character to avoid the fate that has befallen every other carmen before her ."
negative,yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a can't-miss heist -- only to have it all go wrong .
negative,an awkward and indigestible movie .
negative,despite the premise of a good story . . . it wastes all its star power on cliched or meaningless roles .
positive,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia's film history ."
negative,breen's script is sketchy with actorish notations on the margin of acting .
positive,"depending upon your reaction to this movie , you may never again be able to look at a red felt sharpie pen without disgust , a thrill , or the giggles ."
negative,"when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free lecture ."
negative,"human nature talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal ."
positive,meyjes . . . has done his homework and soaked up some jazzy new revisionist theories about the origins of nazi politics and aesthetics .
positive,"notwithstanding my problem with the movie's final half hour , i'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and also the unique way shainberg goes about telling what at heart is a sweet little girl-"
positive,"that rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults ."
negative,this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring .
positive,"a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story ."
positive,throwing it all away for the fleeting joys of love's brief moment .
negative,"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have ."
positive,. . . somehow manages to escape the shackles of its own clichs to be the best espionage picture to come out in weeks .
negative,has the disjointed feel of a bunch of strung-together tv episodes .
negative,a potentially good comic premise and excellent cast are terribly wasted .
positive,[reaches] wholly believable and heart-wrenching depths of despair .
negative,"the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal ."
negative,"a trashy , exploitative , thoroughly unpleasant experience ."
negative,under 15 ? a giggle a minute . over age 15 ? big fat waste of time .
